cutoff_mode,dataset,replicate,track_id,first_cutoff,last_cutoff,observations,eligible_cutoffs,persistence,tail_count,tail_tau_mean,tail_tau_median,tail_tau_std,tail_tau_min,tail_tau_max,tail_drift,tail_slope,median_prominence,prominence_std,prominence_cv,stable
hard,real,0,1,5,211,10,3,1.0,3,0.8472261430297552,0.8383782904874155,0.06013650219462015,0.7783978681507406,0.9249022704511096,0.14650440230036899,0.19939796278486752,7.650040769037074,1.2402464087703522,0.16715574668050592,True
hard,real,0,5,5,211,10,3,1.0,3,14.159387963284168,14.177997793770414,0.07049290341507053,14.065264831809008,14.234901264273082,0.169636432464074,0.14321269970995631,6.8801988943263845,0.18715455815548074,0.027105038377569796,True
hard,real,0,6,5,211,10,3,1.0,3,21.021723743456715,20.989348029779126,0.05236045865846243,20.980237634597913,21.095585565993098,0.11534793139518484,0.1601476924198028,6.373975642020751,0.28289060414150513,0.045668836018618666,True
hard,real,0,7,5,211,10,3,1.0,3,25.000710296500028,24.993256370440047,0.03393952213570424,24.963374308054032,25.045500211006004,0.08212590295197231,0.07534971833410545,4.681945402420855,0.15099658810130606,0.031638441422357756,True
hard,real,0,8,5,211,10,3,1.0,3,30.448830507195137,30.434001411330396,0.04640685097907282,30.4008783940076,30.511611716247412,0.11073332223981325,0.15172304640750883,6.2118198066890455,0.16126005607673763,0.02617535579044733,True
hard,real,0,14,7,211,9,3,1.0,3,32.89313006649307,32.904684328465926,0.023671324823439675,32.86014316334585,32.914562707667436,0.05441954432158269,0.057627118051616785,3.5241401711001092,0.26684352118662863,0.07309292294603441,True
hard,real,0,19,29,211,6,3,1.0,3,12.534735519820288,12.517692160202401,0.06847493860942375,12.46070195299979,12.625812446258674,0.16511049325888472,0.13715298753316568,0.28240578757307977,0.320507463153669,0.667852315250565,True
hard,phase_scrambled,0,1,5,211,10,3,1.0,3,4.234605574897186,4.180901192981475,0.07939110884321855,4.176068646130558,4.3468468855795255,0.17077823944896764,0.23782294523809952,2.583681689253915,0.08248415310388253,0.031461696161219646,True
hard,phase_scrambled,0,2,5,211,10,3,1.0,3,7.781687584426397,7.7727895747279545,0.02399649875889371,7.757775224770659,7.814497953780578,0.0567227290099197,0.07788120089750991,9.371845614938154,0.3210247711690005,0.03507046524636172,True
hard,phase_scrambled,0,6,5,211,10,3,1.0,3,24.465876039060277,24.463747403161005,0.015745299925818065,24.447744696392544,24.48613601762728,0.03839132123473732,0.02417577101509651,6.709776987114854,0.14553239042825855,0.02150827798825641,True
hard,phase_scrambled,0,11,7,211,8,3,1.0,3,19.5061160068446,19.513373006522052,0.01731960568943943,19.482227816025567,19.522747197986185,0.04051938196061755,0.044221160892200975,2.3076548343722965,0.43989714485773723,0.1897688864503591,True
hard,phase_scrambled,0,13,11,211,8,3,1.0,3,30.2889903508825,30.280343330558992,0.019050108027791352,30.271216763871788,30.31541095821672,0.044194194344932214,0.045258625526764164,1.8596840482485861,0.1418398162782439,0.07316258467508267,True
hard,phase_scrambled,0,14,11,211,8,3,1.0,3,33.53752989776223,33.52542060499405,0.021587185901024677,33.51931452840304,33.5678545598896,0.048540031486560054,0.06720431509161931,5.226105529204345,0.051425111524652956,0.009830649615335642,True
hard,phase_scrambled,0,15,17,211,7,3,1.0,3,9.53265698999725,9.533493583281428,0.004188263947846844,9.527160562192725,9.537316824517596,0.010156262324871435,0.004492467835858875,4.395129925323346,0.48009638948744,0.11183765874703752,True
hard,phase_scrambled,0,16,17,211,7,3,1.0,3,11.106883118622378,11.122525877668007,0.027635827382238812,11.068044219860726,11.1300792583384,0.06203503847767422,0.08590904847362603,3.943359940498209,0.41912582375184204,0.10411389297095532,True
hard,phase_scrambled,0,17,17,211,7,3,1.0,3,16.5108024491865,16.512794238764744,0.024946754722192134,16.479301875453633,16.540311233341118,0.061009357887485294,0.0828258417401791,6.595241116916435,0.2505989059962448,0.038175700388578135,True
hard,phase_scrambled,0,18,17,211,7,3,1.0,3,18.08829479709001,18.087568585117815,0.03500860052708988,18.04578591188808,18.13152989426414,0.08574398237606218,0.11596765092145556,2.5529606515650505,0.15049207799320177,0.05815739451011195,True
hard,phase_scrambled,0,19,17,211,7,3,1.0,3,28.582774280772043,28.58553410978892,0.016952899773502988,28.560769412349863,28.60201932017734,0.04124990782747773,0.05549069470300666,5.377382562205646,0.14897647346635978,0.027400167860889585,True
hard,phase_scrambled,0,21,29,211,6,3,1.0,3,13.8044943634385,13.799323443368749,0.03125473668940192,13.769063589605333,13.845096057341424,0.07603246773609129,0.03591677238188031,1.8556757335266947,0.13552539563244917,0.0755165279695854,True
hard,phase_scrambled,0,23,29,211,6,3,1.0,3,23.024567232762394,23.036175545094068,0.03246582944243099,22.980292562749124,23.057233590443982,0.07694102769485767,0.10558396705605462,2.4619053722537094,0.21782626516585415,0.09348672452986866,True
hard,phase_scrambled,0,24,29,211,6,3,1.0,3,26.211626422294632,26.20823212497134,0.010671559564265392,26.20058848813121,26.226058653781344,0.025470165650133936,0.03489629748610982,1.8965764690288016,0.12760279127880234,0.06775607274560054,True
hard,phase_scrambled,0,25,47,211,5,3,1.0,3,6.4798184526307665,6.469406529641853,0.020255060399866773,6.461913916457322,6.508134911793125,0.04622099533580304,0.05464340483127894,1.3334525068187635,0.3267744353627385,0.27439960722805457,True
hard,phase_scrambled,0,26,47,211,5,3,1.0,3,31.729766807923227,31.741841334968637,0.01986452596825577,31.701762445470813,31.745696643330223,0.04393419785941077,0.056226189699842354,2.4907905152955916,0.1683360347077602,0.07069688696747224,True
hard,phase_scrambled,1,3,5,211,10,3,1.0,3,10.360298238546958,10.348929089974895,0.041620373149139765,10.315968414534396,10.41599721113158,0.10002879659718467,0.13398127304275095,7.256063623424826,0.5758216840409953,0.08128856362165275,True
hard,phase_scrambled,1,4,5,211,10,3,1.0,3,13.30965168238786,13.298127421838288,0.043083697397540616,13.263599711915328,13.367227913409968,0.10362820149464014,0.14169565965927475,4.806926116872027,0.4028504576042014,0.08310077960561606,True
hard,phase_scrambled,1,6,5,211,10,3,1.0,3,22.12799651617486,22.10531132039301,0.040255380653997364,22.09411987118566,22.18455835694591,0.09043848576024871,0.1252286108177802,2.5191427514912776,0.20438796290534475,0.07748702248085378,True
hard,phase_scrambled,1,7,5,211,10,3,1.0,3,26.692250283611255,26.69618078195504,0.03935390724394105,26.642206885451237,26.738363183427484,0.09615629797624692,0.13063930380617442,7.993787718835779,0.1206211453575529,0.015161925552696492,True
hard,phase_scrambled,1,10,7,211,9,3,1.0,3,15.43774370268928,15.445272297050717,0.05373219802797832,15.368494950425063,15.499463860592057,0.13096891016699352,0.17820627002758754,2.511149714560975,0.07158758852258516,0.02862759951156244,True
hard,phase_scrambled,1,11,7,211,9,3,1.0,3,29.50031234394268,29.476643220323357,0.03650730333850189,29.47241021948016,29.551883592024527,0.07947337254436704,0.11050906803122736,4.6954481425237855,0.4994778831940014,0.10568369187429554,True
hard,phase_scrambled,1,13,11,211,8,3,1.0,3,5.498513708287586,5.499751467927079,0.15313991932053173,5.310340560860956,5.6854490960747235,0.3751085352137675,0.22798533784649877,1.1785107884532477,0.18897821251116942,0.17164193922152324,True
hard,phase_scrambled,1,15,17,211,7,3,1.0,3,18.72275100426261,18.711079667697508,0.03080663987257012,18.692235489380842,18.76493785570947,0.07270236632862748,0.020268397729344478,6.139192105260014,0.35805853028229506,0.05614330669386342,True
hard,phase_scrambled,1,17,29,211,6,3,1.0,3,7.290915203953493,7.271205839079566,0.13297167491003084,7.138810461858361,7.462729310922556,0.3239188490641949,0.15786980948064197,1.0536812921599816,0.4782641041986507,0.5995173186467776,True
hard,phase_scrambled,1,18,29,211,6,3,1.0,3,20.522535394340196,20.509692779291914,0.018243305010526047,20.50957816488133,20.548335238847347,0.038757073966017686,0.050864665549056165,2.5397039611460968,0.2577239133039273,0.1083291138402308,True
hard,phase_scrambled,1,19,47,211,5,3,1.0,3,16.925323751074625,16.895275375235975,0.044545510892538796,16.89239718151182,16.988298696476086,0.09590151496426458,0.12999885804195313,0.5200750181854905,0.27630796605417496,0.5831895636029659,True
hard,phase_scrambled,1,20,47,211,5,3,1.0,3,33.344481167153305,33.32890848082356,0.06374750767208402,33.275366693144626,33.42916832749173,0.15380163434710425,0.21011000761033705,1.4849344931389603,0.16450476794172622,0.10860456297328507,True
hard,phase_scrambled,1,21,71,211,4,3,1.0,3,1.1727679570396405,1.2078988764309382,0.06609285013738983,1.080190757356395,1.2302142373315883,0.15002347997519339,0.1987007549477173,2.4995749265359244,1.0577452041120157,0.39859973604567994,True
hard,phase_scrambled,1,22,71,211,4,3,1.0,3,11.781914002691707,11.777727154925278,0.02193940915373044,11.757383015964399,11.810631837185445,0.05324882122104668,0.04149199413051195,1.4317587395614946,0.642189145506417,0.4615934699992292,True
hard,phase_scrambled,1,24,71,211,4,3,1.0,3,28.358332697864373,28.317172411641447,0.07483842786292656,28.294470206270223,28.46335547568146,0.16888526941123772,0.23370325823240956,0.6415096318396767,0.44725454367877693,0.6430360412201904,True
hard,shuffled_rates,0,1,5,211,10,3,1.0,3,0.8424410487066281,0.8336534122059692,0.05896540059903266,0.7750194035437357,0.9186503303701795,0.14363092682644385,0.19550112544491646,8.601599638592024,0.7091299031219888,0.0829813653684173,True
hard,shuffled_rates,0,5,5,211,10,3,1.0,3,14.178986874286515,14.195829513867697,0.072005921138433,14.083591287396713,14.257539821595138,0.17394853419842526,0.1421656526420018,7.1112535986144545,0.16590501451514067,0.023624643898608005,True
