cutoff_mode,dataset,replicate,prime_cutoff,feature_id,track_id,tau,value,prominence,width,curvature,refinement_ok,refinement
hard,real,0,5,peak_1,1,2.561664568060864,1.9964674961270097,4.227483350574872,6.106209161585219,-2.1935127898000957,True,derivative_root
hard,real,0,5,peak_2,2,4.716156926414792,0.8232619488396802,0.4117954701815282,0.7869576134959957,-2.8440244721791212,True,derivative_root
hard,real,0,5,peak_3,3,6.630314810737794,0.5631158454149028,0.6568568618399405,0.9684848750611601,-2.9333326154454378,True,derivative_root
hard,real,0,5,peak_4,4,10.12078414980564,0.038965746213302954,1.2104307459788428,1.2548086738507322,-3.141858259706156,True,derivative_root
hard,real,0,5,peak_5,5,13.844395902919423,2.6370725376076907,6.088129386459174,3.6352135596121418,-1.9422184969799396,True,derivative_root
hard,real,0,5,peak_6,6,21.16808816432899,2.0059591311871428,4.213127459672616,2.6994814498344626,-2.21081178005788,True,derivative_root
hard,real,0,5,peak_7,7,25.0754411966309,1.780421226349893,3.146350596538346,2.302142600021108,-2.230291719279859,True,derivative_root
hard,real,0,5,peak_8,8,30.228168185150157,1.4736890286247684,0.7251784243367903,1.0858457167886855,-2.5299228654127757,True,derivative_root
hard,real,0,5,peak_9,9,32.48902827139491,2.06470840996401,4.42187720340643,4.73900272955421,-2.2694193135011873,True,derivative_root
hard,real,0,7,peak_1,1,2.1669504975379756,2.2337113082502973,3.866798290703057,2.3331828989940115,-3.853240016039863,True,derivative_root
hard,real,0,7,peak_2,2,4.760069916573912,1.4564890277702347,1.183697957149823,1.0774704774179398,-4.388710546970453,True,derivative_root
hard,real,0,7,peak_3,10,7.138841303478848,0.13905773187906562,0.5949101684368068,0.8170455246014214,-4.17965534449461,True,derivative_root
hard,real,0,7,peak_4,4,10.512084052759311,-0.048528474561634116,1.3525045046075463,1.0929561497470075,-4.949062294927336,True,derivative_root
hard,real,0,7,peak_5,5,14.14505806184892,3.0772015995140096,5.898040542288871,3.013973156249509,-3.5884729178569903,True,derivative_root
hard,real,0,7,peak_6,11,17.655779186505615,-1.5137405208430126,0.10267145793920607,0.42394022030727285,-2.661051760134992,True,derivative_root
hard,real,0,7,peak_7,12,18.668295711072954,-1.319412944930122,0.3269791571973919,0.5983300188834363,-4.209169585406135,True,derivative_root
hard,real,0,7,peak_8,6,21.09498299139109,2.632631030297828,4.45931205620934,2.144057110047342,-3.7238196030539106,True,derivative_root
hard,real,0,7,peak_9,7,24.72825017891965,2.0851514005747966,3.918056539493622,2.122604348697345,-4.003786774534798,True,derivative_root
hard,real,0,7,peak_10,13,28.14392773708275,-1.873201955636588,0.127440972391915,0.3785254120691889,-3.9484464743243874,True,derivative_root
hard,real,0,7,peak_11,8,30.396864903204456,2.0206324831829394,4.679501902636753,4.76607328300218,-4.014878911763812,True,derivative_root
hard,real,0,7,peak_12,14,33.068078375491176,1.7789904264068856,0.7302662699197597,0.8748957655379286,-4.050648989685591,True,derivative_root
hard,real,0,11,peak_1,1,1.8700968176929382,2.268530381323424,3.4445894307443323,3.9778507208396334,-5.863902975977173,True,derivative_root
hard,real,0,11,peak_2,2,4.487412163500161,1.5054749816375705,0.9381707045568832,0.8832485454091853,-5.748798879115094,True,derivative_root
hard,real,0,11,peak_3,10,6.9370891236327985,0.42994259681367036,0.650875349634358,0.7896948240875532,-5.471598760597642,True,derivative_root
hard,real,0,11,peak_4,15,8.571541910510117,-0.37122909505103996,0.7487495891374476,0.8521869693428457,-5.5109485461078,True,derivative_root
hard,real,0,11,peak_5,4,10.835355510393569,-0.6730339133354066,0.2827602218654851,1.135236282285227,-3.6178269000952232,True,derivative_root
hard,real,0,11,peak_6,5,14.24192644639047,3.5579173047557284,6.1627385611003636,2.205650720039583,-5.654829142984215,True,derivative_root
hard,real,0,11,peak_7,16,16.771949993005652,-0.9658284813379789,0.8454842129741782,1.3135313975200178,-4.490295408234907,True,derivative_root
