cutoff_mode,dataset,replicate,track_id,first_cutoff,last_cutoff,observations,eligible_cutoffs,persistence,tail_count,tail_tau_mean,tail_tau_median,tail_tau_std,tail_tau_min,tail_tau_max,tail_drift,tail_slope,median_prominence,prominence_std,prominence_cv,stable
taper,real,0,2,5,211,10,3,1.0,3,7.022185899637528,7.009533665265822,0.021542419427004748,7.004510881929256,7.052513151717508,0.048002269788252505,0.06340203566691666,0.3502778930454816,0.09370927593087418,0.31551913385338665,True
taper,real,0,3,5,211,10,3,1.0,3,14.130375201934276,14.12782771929924,0.01513496837059575,14.11324422509213,14.150053661411452,0.036809436319321875,0.0495067086634127,6.669808278244366,0.12271880974824552,0.018520946711527528,True
taper,real,0,4,5,211,10,3,1.0,3,21.04195230810586,21.040899117644823,0.013431238515058182,21.02605436850393,21.05890343816882,0.032849069664887764,0.044593258809414615,5.511976334827294,0.6116044976423769,0.1191634976877428,True
taper,real,0,5,5,211,10,3,1.0,3,25.000058249197025,25.000957377020445,0.0023290627015454383,24.996864513922326,25.002352856648308,0.00548834272598242,0.007317049546640478,4.511168399755319,0.4152287925672089,0.0870949581479442,True
taper,real,0,11,11,211,8,3,1.0,3,30.479796324034254,30.48183202638613,0.021881123527629064,30.452037730774407,30.50551921494222,0.05348148416781129,0.07213651714146226,5.510305917362134,0.17668855678442283,0.03184890875914645,True
taper,real,0,12,11,211,8,3,1.0,3,32.84126148051707,32.84455066669825,0.023122066711472836,32.81144188264895,32.86779189220401,0.056350009555060865,0.07668031753401564,3.442723029165438,0.017757607790470892,0.005160768704181213,True
taper,real,0,18,47,211,5,3,1.0,3,17.63246546494746,17.62894484251199,0.01786861299433351,17.61255471461386,17.655896837716544,0.043342123102682706,0.05822812919374448,0.4696990278591633,0.13494561171210068,0.3311075009468911,True
taper,real,0,19,47,211,5,3,1.0,3,34.66093429550614,34.65791355386089,0.03583293862424761,34.61863649841903,34.70625283423851,0.08761633581948303,0.11896717697951606,0.4024987454097442,0.08804936479973666,0.24148037340978293,True
taper,real,0,21,71,211,4,3,1.0,3,12.518293108225942,12.522433589028603,0.03749150212129688,12.470445565468433,12.562000170180788,0.09155460471235521,0.12443680433955269,0.33160083605313656,0.03512177854982032,0.11008489694856073,True
taper,phase_scrambled,0,4,5,211,10,3,1.0,3,22.95711367252274,22.949018154569643,0.013519848493288193,22.94616055163425,22.976162311364337,0.03000175973008723,0.0353807302581974,5.585574004168967,1.7920548296455299,0.39314610357074636,True
taper,phase_scrambled,0,6,7,211,9,3,1.0,3,16.4140360998481,16.440734022710565,0.07385488191652927,16.313238690400453,16.488135586433277,0.17489689603282343,0.24004457783718436,5.578844850800075,0.47838438287040624,0.08702002107185211,True
taper,phase_scrambled,0,7,11,211,8,3,1.0,3,19.54745656585349,19.546342998982748,0.017892540837563427,19.526120781987284,19.56990591659044,0.04378513460315503,0.059403144724721094,1.2806786046789131,0.3805750303466493,0.3030552559411013,True
taper,phase_scrambled,0,8,17,211,7,3,1.0,3,4.358196133211579,4.367564833774656,0.015228975683113957,4.336717345224215,4.370306220635866,0.033588875411651564,0.04024968465219166,2.5968986949368698,0.024358038765948508,0.009420794525995932,True
taper,phase_scrambled,0,11,29,211,6,3,1.0,3,18.12616542023581,18.116141599209172,0.026921676092254834,18.09936841337611,18.162986248122156,0.06361783474604721,0.08735377593766835,1.5080625055061398,0.4398707627723942,0.29931446388392896,True
taper,phase_scrambled,0,12,29,211,6,3,1.0,3,28.5171576611428,28.525261031272798,0.0332522898386493,28.472989598952335,28.553222353203264,0.0802327542509289,0.1096042724853443,4.567406228776706,0.28237904223931426,0.062025059797717046,True
taper,phase_scrambled,0,13,29,211,6,3,1.0,3,33.60242342570364,33.59813815946445,0.0344834083475103,33.562496051135625,33.64663606651086,0.08414001537523319,0.11441884566986045,5.001584062300965,0.15301677124766913,0.03104307457447796,True
taper,phase_scrambled,0,14,47,211,5,3,1.0,3,9.559864686444433,9.553501353542142,0.021007493213874257,9.537914636828479,9.588178068962682,0.050263432134203256,0.06882358498830199,2.5564109915558015,0.9326714870634607,0.35095345687613905,True
