zero_index,gamma,in_window
1,14.134725141734695,True
2,21.022039638771556,True
3,25.01085758014569,True
4,30.424876125859512,True
5,32.93506158773919,True
6,37.586178158825675,False
7,40.9187190121475,False
8,43.327073280915,False
9,48.00515088116716,False
10,49.7738324776723,False
11,52.970321477714464,False
12,56.44624769706339,False
13,59.34704400260235,False
14,60.83177852460981,False
