variant,dataset,replicate,kind,predicted_index,predicted_tau,zero_index,gamma,distance,reason
loose,phase_scrambled,0,matched,12,30.278603218135657,4,30.424876125859512,0.14627290772385493,one_to_one_within_tolerance
loose,phase_scrambled,0,extra,1,4.2742330133780655,1,14.134725141734695,9.86049212835663,no_in_window_reference_within_tolerance
loose,phase_scrambled,0,extra,2,7.731573571703702,1,14.134725141734695,6.4031515700309924,no_in_window_reference_within_tolerance
loose,phase_scrambled,0,extra,3,9.543497468411786,1,14.134725141734695,4.5912276733229085,no_in_window_reference_within_tolerance
loose,phase_scrambled,0,extra,4,11.193871215389724,1,14.134725141734695,2.940853926344971,no_in_window_reference_within_tolerance
loose,phase_scrambled,0,extra,5,16.476764130737656,1,14.134725141734695,2.342038989002962,no_in_window_reference_within_tolerance
loose,phase_scrambled,0,extra,6,18.101855092163493,2,21.022039638771556,2.9201845466080627,no_in_window_reference_within_tolerance
loose,phase_scrambled,0,extra,7,19.5298580027524,2,21.022039638771556,1.4921816360191578,no_in_window_reference_within_tolerance
loose,phase_scrambled,0,extra,8,22.992596849831855,2,21.022039638771556,1.9705572110602994,no_in_window_reference_within_tolerance
loose,phase_scrambled,0,extra,9,24.427997208392554,3,25.01085758014569,0.5828603717531351,no_in_window_reference_within_tolerance
loose,phase_scrambled,0,extra,10,26.27254054208342,3,25.01085758014569,1.2616829619377299,no_in_window_reference_within_tolerance
loose,phase_scrambled,0,extra,11,28.555397570530857,4,30.424876125859512,1.869478555328655,no_in_window_reference_within_tolerance
loose,phase_scrambled,0,extra,13,31.712694671244257,5,32.93506158773919,1.2223669164949342,no_in_window_reference_within_tolerance
loose,phase_scrambled,0,extra,14,33.56177938222925,5,32.93506158773919,0.6267177944900553,no_in_window_reference_within_tolerance
loose,phase_scrambled,0,missing,,,1,14.134725141734695,2.342038989002962,no_one_to_one_prediction
loose,phase_scrambled,0,missing,,,2,21.022039638771556,1.4921816360191578,no_one_to_one_prediction
loose,phase_scrambled,0,missing,,,3,25.01085758014569,0.5828603717531351,no_one_to_one_prediction
loose,phase_scrambled,0,missing,,,5,32.93506158773919,0.6267177944900553,no_one_to_one_prediction
loose,phase_scrambled,1,extra,1,5.405528669614482,1,14.134725141734695,8.729196472120211,no_in_window_reference_within_tolerance
loose,phase_scrambled,1,extra,2,8.779808995788834,1,14.134725141734695,5.354916145945861,no_in_window_reference_within_tolerance
loose,phase_scrambled,1,extra,3,10.334919855880333,1,14.134725141734695,3.7998052858543616,no_in_window_reference_within_tolerance
loose,phase_scrambled,1,extra,4,13.337403326516638,1,14.134725141734695,0.7973218152180568,no_in_window_reference_within_tolerance
