predicted_index,hard_track_id,taper_track_id,hard_tau,taper_tau,consensus_tau,agreement_error,hard_persistence,taper_persistence,hard_tail_drift,taper_tail_drift,hard_prominence,taper_prominence
1,19,21,12.517692160202401,12.522433589028603,12.520062874615501,0.00474142882620221,1.0,1.0,0.16511049325888472,0.09155460471235521,0.28240578757307977,0.33160083605313656
2,5,3,14.177997793770414,14.12782771929924,14.152912756534828,0.05017007447117372,1.0,1.0,0.169636432464074,0.036809436319321875,6.8801988943263845,6.669808278244366
3,6,4,20.989348029779126,21.040899117644823,21.015123573711975,0.05155108786569684,1.0,1.0,0.11534793139518484,0.032849069664887764,6.373975642020751,5.511976334827294
4,7,5,24.993256370440047,25.000957377020445,24.997106873730246,0.007701006580397518,1.0,1.0,0.08212590295197231,0.00548834272598242,4.681945402420855,4.511168399755319
5,8,11,30.434001411330396,30.48183202638613,30.457916718858264,0.047830615055733716,1.0,1.0,0.11073332223981325,0.05348148416781129,6.2118198066890455,5.510305917362134
6,14,12,32.904684328465926,32.84455066669825,32.874617497582086,0.060133661767679314,1.0,1.0,0.05441954432158269,0.056350009555060865,3.5241401711001092,3.442723029165438
