variant,dataset,replicate,predicted_index,predicted_tau,zero_index,gamma,signed_error,absolute_error,relative_error,nearest_zero_index,nearest_zero_gamma,nearest_zero_distance
strict,phase_scrambled,1,1,10.334919855880333,1,14.134725141734695,-3.7998052858543616,3.7998052858543616,0.26882767423859705,1,14.134725141734695,3.7998052858543616
strict,phase_scrambled,1,2,13.337403326516638,2,21.022039638771556,-7.684636312254918,7.684636312254918,0.3655514138638537,1,14.134725141734695,0.7973218152180568
strict,phase_scrambled,1,3,15.435851373278773,3,25.01085758014569,-9.575006206866917,9.575006206866917,0.38283398224888626,1,14.134725141734695,1.3011262315440781
strict,phase_scrambled,1,4,18.698659957927347,4,30.424876125859512,-11.726216167932165,11.726216167932165,0.3854154120274465,2,21.022039638771556,2.3233796808442087
strict,phase_scrambled,1,5,20.51244297095806,5,32.93506158773919,-12.422618616781133,12.422618616781133,0.3771852250431415,2,21.022039638771556,0.5095966678134971
strict,phase_scrambled,1,6,22.139434783155295,6,37.586178158825675,-15.44674337567038,15.44674337567038,0.4109687159571797,2,21.022039638771556,1.1173951443837389
strict,phase_scrambled,1,7,26.654646918227343,7,40.9187190121475,-14.264072093920156,14.264072093920156,0.348595274687988,3,25.01085758014569,1.6437893380816533
strict,phase_scrambled,1,8,29.515759913629587,8,43.327073280915,-13.811313367285415,13.811313367285415,0.3187686663656812,4,30.424876125859512,0.9091162122299252
strict,shuffled_rates,0,1,12.512504244177947,1,14.134725141734695,-1.6222208975567476,1.6222208975567476,0.11476847843096151,1,14.134725141734695,1.6222208975567476
strict,shuffled_rates,0,2,14.18616904673398,2,21.022039638771556,-6.835870592037576,6.835870592037576,0.32517637248813774,1,14.134725141734695,0.051443904999285195
strict,shuffled_rates,0,3,21.018445232023893,3,25.01085758014569,-3.992412348121796,3.992412348121796,0.15962716733436136,2,21.022039638771556,0.0035944067476627595
strict,shuffled_rates,0,4,25.01539900558283,4,30.424876125859512,-5.409477120276684,5.409477120276684,0.17779783549156075,3,25.01085758014569,0.004541425437139424
strict,shuffled_rates,0,5,30.45882349312592,5,32.93506158773919,-2.4762380946132723,2.4762380946132723,0.07518547029330915,4,30.424876125859512,0.033947367266407014
