predicted_index,consensus_tau,kappa,predicted_P_int
1,12.520062874615501,1.0,12.520062874615501
2,14.152912756534828,1.0,14.152912756534828
3,21.015123573711975,1.0,21.015123573711975
4,24.997106873730246,1.0,24.997106873730246
5,30.457916718858264,1.0,30.457916718858264
6,32.874617497582086,1.0,32.874617497582086
