dataset,replicate,predicted_index,hard_track_id,taper_track_id,hard_tau,taper_tau,consensus_tau,agreement_error,hard_persistence,taper_persistence,hard_tail_drift,taper_tail_drift,hard_prominence,taper_prominence
phase_scrambled,0,1,1,8,4.180901192981475,4.367564833774656,4.2742330133780655,0.18666364079318143,1.0,1.0,0.17077823944896764,0.033588875411651564,2.583681689253915,2.5968986949368698
phase_scrambled,0,2,15,14,9.533493583281428,9.553501353542142,9.543497468411786,0.020007770260713542,1.0,1.0,0.010156262324871435,0.050263432134203256,4.395129925323346,2.5564109915558015
phase_scrambled,0,3,17,6,16.512794238764744,16.440734022710565,16.476764130737656,0.07206021605417945,1.0,1.0,0.061009357887485294,0.17489689603282343,6.595241116916435,5.578844850800075
phase_scrambled,0,4,18,11,18.087568585117815,18.116141599209172,18.101855092163493,0.028573014091357152,1.0,1.0,0.08574398237606218,0.06361783474604721,2.5529606515650505,1.5080625055061398
phase_scrambled,0,5,11,7,19.513373006522052,19.546342998982748,19.5298580027524,0.03296999246069632,1.0,1.0,0.04051938196061755,0.04378513460315503,2.3076548343722965,1.2806786046789131
phase_scrambled,0,6,23,4,23.036175545094068,22.949018154569643,22.992596849831855,0.08715739052442473,1.0,1.0,0.07694102769485767,0.03000175973008723,2.4619053722537094,5.585574004168967
phase_scrambled,0,7,6,17,24.463747403161005,24.392247013624107,24.427997208392554,0.0715003895368973,1.0,1.0,0.03839132123473732,0.09502183032912015,6.709776987114854,1.7888143459175008
phase_scrambled,0,8,19,12,28.58553410978892,28.525261031272798,28.555397570530857,0.06027307851612207,1.0,1.0,0.04124990782747773,0.0802327542509289,5.377382562205646,4.567406228776706
phase_scrambled,0,9,13,16,30.280343330558992,30.27686310571232,30.278603218135657,0.0034802248466725416,1.0,1.0,0.044194194344932214,0.07156649282877936,1.8596840482485861,1.1660934347232514
phase_scrambled,0,10,26,18,31.741841334968637,31.68354800751988,31.712694671244257,0.05829332744875515,1.0,1.0,0.04393419785941077,0.09114452517054872,2.4907905152955916,1.5753308481881259
phase_scrambled,0,11,14,13,33.52542060499405,33.59813815946445,33.56177938222925,0.07271755447039396,1.0,1.0,0.048540031486560054,0.08414001537523319,5.226105529204345,5.001584062300965
phase_scrambled,1,1,13,11,5.499751467927079,5.311305871301886,5.405528669614482,0.18844559662519345,1.0,1.0,0.3751085352137675,0.09353484134634371,1.1785107884532477,0.5954874724849379
phase_scrambled,1,2,3,2,10.348929089974895,10.320910621785773,10.334919855880333,0.02801846818912246,1.0,1.0,0.10002879659718467,0.023829477427396384,7.256063623424826,5.8224588358674545
phase_scrambled,1,3,4,7,13.298127421838288,13.376679231194988,13.337403326516638,0.07855180935669992,1.0,1.0,0.10362820149464014,0.0332592641495264,4.806926116872027,3.9658023058125025
phase_scrambled,1,4,10,8,15.445272297050717,15.426430449506828,15.435851373278773,0.0188418475438894,1.0,1.0,0.13096891016699352,0.03458917673169282,2.511149714560975,2.4762198996132834
phase_scrambled,1,5,15,4,18.711079667697508,18.68624024815719,18.698659957927347,0.02483941954031721,1.0,1.0,0.07270236632862748,0.0318034037521997,6.139192105260014,6.552101679981317
phase_scrambled,1,6,18,13,20.509692779291914,20.515193162624204,20.51244297095806,0.005500383332289971,1.0,1.0,0.038757073966017686,0.008099553595997122,2.5397039611460968,1.5749604400680686
phase_scrambled,1,7,6,9,22.10531132039301,22.17355824591758,22.139434783155295,0.06824692552456924,1.0,1.0,0.09043848576024871,0.019691674344414878,2.5191427514912776,2.114817978132483
phase_scrambled,1,8,7,5,26.69618078195504,26.613113054499642,26.654646918227343,0.08306772745539703,1.0,1.0,0.09615629797624692,0.06301232581440175,7.993787718835779,6.88237800705458
phase_scrambled,1,9,11,10,29.476643220323357,29.554876606935817,29.515759913629587,0.07823338661246027,1.0,1.0,0.07947337254436704,0.04178035464680363,4.6954481425237855,0.7429066482627326
shuffled_rates,0,1,13,4,9.193719573606515,9.235424318760288,9.214571946183401,0.04170474515377265,1.0,1.0,0.4216170909031991,0.16433446991305445,2.10348510018882,1.4965448034328244
shuffled_rates,0,2,20,16,12.537353547813463,12.48765494054243,12.512504244177947,0.04969860727103281,1.0,1.0,0.177532867251724,0.015234298727900608,0.3022970050416471,0.3378735554104663
shuffled_rates,0,3,5,5,14.195829513867697,14.176508579600263,14.18616904673398,0.019320934267433643,1.0,1.0,0.17394853419842526,0.05190961631371138,7.1112535986144545,7.004896721587094
shuffled_rates,0,4,8,7,20.986706488194407,21.050183975853383,21.018445232023893,0.0634774876589752,1.0,1.0,0.12923428694945827,0.06626807700363813,5.835935725517076,5.090727116110529
shuffled_rates,0,5,9,8,25.00298920113182,25.02780881003384,25.01539900558283,0.02481960890201762,1.0,1.0,0.089164622417929,0.026428867831675973,5.923980303574773,5.676012404272338
shuffled_rates,0,6,11,9,30.435508172679228,30.482138813572615,30.45882349312592,0.046630640893386754,1.0,1.0,0.09188479091034907,0.01663006134961975,6.35557511484922,6.06633898633816
shuffled_rates,0,7,15,10,32.848549167403554,32.8110861037837,32.82981763559363,0.03746306361985319,1.0,1.0,0.05344391959105366,0.09120362169505114,4.1108184796350855,3.8278492737835936
shuffled_rates,0,8,19,13,34.6716823881783,34.691624501044586,34.68165344461144,0.019942112866289108,1.0,1.0,0.11167329702221451,0.05348787157474533,0.5015956044667953,0.551466488043127
shuffled_rates,1,1,18,17,12.54167153173315,12.517939928451316,12.529805730092233,0.02373160328183488,1.0,1.0,0.14281273859412025,0.06044503597667905,0.3369645633235816,0.5236689929112303
shuffled_rates,1,2,5,3,14.172969538240176,14.126912063459313,14.149940800849745,0.04605747478086286,1.0,1.0,0.17319500849157876,0.05452981949573754,6.711411203352224,7.18217095965285
shuffled_rates,1,3,6,4,20.99231583979213,21.05551347870927,21.0239146592507,0.06319763891713848,1.0,1.0,0.12948968158256946,0.06638879768307504,6.21186260800105,5.023978422922733
shuffled_rates,1,4,7,5,25.00963192500104,25.03240259638135,25.021017260691195,0.022770671380307306,1.0,1.0,0.09744926922504504,0.04942793578442206,5.77945774559271,5.785568522643384
shuffled_rates,1,5,9,10,30.426432959519584,30.4657824585783,30.446107709048942,0.039349499058715764,1.0,1.0,0.11039414064976327,0.046813445133246034,6.373308745103755,5.970983216022233
shuffled_rates,1,6,13,11,32.908893256292586,32.83424080649353,32.871567031393056,0.0746524497990535,1.0,1.0,0.05862621398114243,0.018191452680625275,3.4779501080020583,3.473952950795124
