predicted_index,predicted_tau,zero_index,gamma,signed_error,absolute_error,relative_error,nearest_zero_index,nearest_zero_gamma,nearest_zero_distance
1,12.520062874615501,1,14.134725141734695,-1.6146622671191935,1.6146622671191935,0.11423372233476857,1,14.134725141734695,1.6146622671191935
2,14.152912756534828,2,21.022039638771556,-6.869126882236728,6.869126882236728,0.3267583450640916,1,14.134725141734695,0.018187614800133645
3,21.015123573711975,3,25.01085758014569,-3.9957340064337146,3.9957340064337146,0.15975997598761424,2,21.022039638771556,0.0069160650595812
4,24.997106873730246,4,30.424876125859512,-5.427769252129266,5.427769252129266,0.17839905837828388,3,25.01085758014569,0.013750706415443403
5,30.457916718858264,5,32.93506158773919,-2.477144868880927,2.477144868880927,0.07521300248010161,4,30.424876125859512,0.03304059299875206
6,32.874617497582086,6,37.586178158825675,-4.711560661243588,4.711560661243588,0.1253535446284064,5,32.93506158773919,0.06044409015710528
