frame_prime,source_type,source_prime_q,zero_index,k,sign,raw_real,raw_imag,normalized_X,normalized_Y,expected_X,expected_Y,residual_X,residual_Y
2,inherited,,1,,1,0.5,14.134725141734695,1.0,28.26945028346939,1.0,28.26945028346939,0.0,0.0
2,inherited,,2,,1,0.5,21.022039638771556,1.0,42.04407927754311,1.0,42.04407927754311,0.0,0.0
2,inherited,,3,,1,0.5,25.01085758014569,1.0,50.02171516029138,1.0,50.02171516029138,0.0,0.0
2,inherited,,4,,1,0.5,30.424876125859512,1.0,60.849752251719025,1.0,60.849752251719025,0.0,0.0
2,inherited,,5,,1,0.5,32.93506158773919,1.0,65.87012317547838,1.0,65.87012317547838,0.0,0.0
3,inherited,,1,,1,0.3333333333333333,9.423150094489795,1.0,28.269450283469386,1.0,28.26945028346939,0.0,-3.552713678800501e-15
3,inherited,,2,,1,0.3333333333333333,14.01469309251437,1.0,42.04407927754311,1.0,42.04407927754311,0.0,0.0
3,inherited,,3,,1,0.3333333333333333,16.67390505343046,1.0,50.02171516029138,1.0,50.02171516029138,0.0,0.0
3,inherited,,4,,1,0.3333333333333333,20.283250750573007,1.0,60.849752251719025,1.0,60.849752251719025,0.0,0.0
3,inherited,,5,,1,0.3333333333333333,21.95670772515946,1.0,65.87012317547838,1.0,65.87012317547838,0.0,0.0
5,inherited,,1,,1,0.2,5.653890056693879,1.0,28.269450283469393,1.0,28.26945028346939,0.0,3.552713678800501e-15
5,inherited,,2,,1,0.2,8.408815855508623,1.0,42.04407927754311,1.0,42.04407927754311,0.0,0.0
5,inherited,,3,,1,0.2,10.004343032058276,1.0,50.02171516029138,1.0,50.02171516029138,0.0,0.0
5,inherited,,4,,1,0.2,12.169950450343805,1.0,60.849752251719025,1.0,60.849752251719025,0.0,0.0
5,inherited,,5,,1,0.2,13.174024635095677,1.0,65.87012317547838,1.0,65.87012317547838,0.0,0.0
7,inherited,,1,,1,0.14285714285714285,4.038492897638484,1.0,28.26945028346939,1.0,28.26945028346939,0.0,0.0
7,inherited,,2,,1,0.14285714285714285,6.006297039649016,1.0,42.04407927754311,1.0,42.04407927754311,0.0,0.0
7,inherited,,3,,1,0.14285714285714285,7.145959308613054,1.0,50.02171516029138,1.0,50.02171516029138,0.0,0.0
7,inherited,,4,,1,0.14285714285714285,8.692821750245574,1.0,60.849752251719025,1.0,60.849752251719025,0.0,0.0
7,inherited,,5,,1,0.14285714285714285,9.410017596496912,1.0,65.87012317547838,1.0,65.87012317547838,0.0,0.0
11,inherited,,1,,1,0.09090909090909091,2.5699500257699444,1.0,28.26945028346939,1.0,28.26945028346939,0.0,0.0
11,inherited,,2,,1,0.09090909090909091,3.822189025231192,1.0,42.04407927754311,1.0,42.04407927754311,0.0,0.0
11,inherited,,3,,1,0.09090909090909091,4.54742865093558,1.0,50.02171516029138,1.0,50.02171516029138,0.0,0.0
11,inherited,,4,,1,0.09090909090909091,5.531795659247185,1.0,60.84975225171903,1.0,60.849752251719025,0.0,7.105427357601002e-15
11,inherited,,5,,1,0.09090909090909091,5.9881930159525805,1.0,65.87012317547838,1.0,65.87012317547838,0.0,0.0
13,inherited,,1,,1,0.07692307692307693,2.174573098728415,1.0,28.269450283469393,1.0,28.26945028346939,0.0,3.552713678800501e-15
13,inherited,,2,,1,0.07692307692307693,3.2341599444263935,1.0,42.04407927754312,1.0,42.04407927754311,0.0,7.105427357601002e-15
13,inherited,,3,,1,0.07692307692307693,3.8478242430993372,1.0,50.021715160291386,1.0,50.02171516029138,0.0,7.105427357601002e-15
13,inherited,,4,,1,0.07692307692307693,4.680750173209156,1.0,60.84975225171903,1.0,60.849752251719025,0.0,7.105427357601002e-15
13,inherited,,5,,1,0.07692307692307693,5.066932551959876,1.0,65.87012317547838,1.0,65.87012317547838,0.0,0.0
17,inherited,,1,,1,0.058823529411764705,1.6629088402040817,1.0,28.26945028346939,1.0,28.26945028346939,0.0,0.0
17,inherited,,2,,1,0.058823529411764705,2.473181133973124,1.0,42.044079277543105,1.0,42.04407927754311,0.0,-7.105427357601002e-15
17,inherited,,3,,1,0.058823529411764705,2.9424538329583165,1.0,50.02171516029138,1.0,50.02171516029138,0.0,0.0
17,inherited,,4,,1,0.058823529411764705,3.5793971912775895,1.0,60.849752251719025,1.0,60.849752251719025,0.0,0.0
17,inherited,,5,,1,0.058823529411764705,3.8747131279693168,1.0,65.87012317547838,1.0,65.87012317547838,0.0,0.0
19,inherited,,1,,1,0.05263157894736842,1.4878658043931257,1.0,28.26945028346939,1.0,28.26945028346939,0.0,0.0
19,inherited,,2,,1,0.05263157894736842,2.212846277765427,1.0,42.04407927754311,1.0,42.04407927754311,0.0,0.0
19,inherited,,3,,1,0.05263157894736842,2.6327218505416514,1.0,50.02171516029138,1.0,50.02171516029138,0.0,0.0
19,inherited,,4,,1,0.05263157894736842,3.202618539564159,1.0,60.84975225171902,1.0,60.849752251719025,0.0,-7.105427357601002e-15
19,inherited,,5,,1,0.05263157894736842,3.4668485881830726,1.0,65.87012317547838,1.0,65.87012317547838,0.0,0.0
