frame_prime,source_type,source_prime_q,zero_index,k,sign,raw_real,raw_imag,normalized_X,normalized_Y,expected_X,expected_Y,residual_X,residual_Y
2,inherited,,1,,1,0.5,14.134725141734695,1.0,28.26945028346939,1.0,28.26945028346939,0.0,0.0
2,inherited,,1,,-1,0.5,-14.134725141734695,1.0,-28.26945028346939,1.0,-28.26945028346939,0.0,0.0
2,inherited,,2,,1,0.5,21.022039638771556,1.0,42.04407927754311,1.0,42.04407927754311,0.0,0.0
2,inherited,,2,,-1,0.5,-21.022039638771556,1.0,-42.04407927754311,1.0,-42.04407927754311,0.0,0.0
2,inherited,,3,,1,0.5,25.01085758014569,1.0,50.02171516029138,1.0,50.02171516029138,0.0,0.0
2,inherited,,3,,-1,0.5,-25.01085758014569,1.0,-50.02171516029138,1.0,-50.02171516029138,0.0,0.0
2,inherited,,4,,1,0.5,30.424876125859512,1.0,60.849752251719025,1.0,60.849752251719025,0.0,0.0
2,inherited,,4,,-1,0.5,-30.424876125859512,1.0,-60.849752251719025,1.0,-60.849752251719025,0.0,0.0
2,inherited,,5,,1,0.5,32.93506158773919,1.0,65.87012317547838,1.0,65.87012317547838,0.0,0.0
2,inherited,,5,,-1,0.5,-32.93506158773919,1.0,-65.87012317547838,1.0,-65.87012317547838,0.0,0.0
2,inherited,,6,,1,0.5,37.586178158825675,1.0,75.17235631765135,1.0,75.17235631765135,0.0,0.0
2,inherited,,6,,-1,0.5,-37.586178158825675,1.0,-75.17235631765135,1.0,-75.17235631765135,0.0,0.0
2,inherited,,7,,1,0.5,40.9187190121475,1.0,81.837438024295,1.0,81.837438024295,0.0,0.0
2,inherited,,7,,-1,0.5,-40.9187190121475,1.0,-81.837438024295,1.0,-81.837438024295,0.0,0.0
2,inherited,,8,,1,0.5,43.327073280915,1.0,86.65414656183,1.0,86.65414656183,0.0,0.0
2,inherited,,8,,-1,0.5,-43.327073280915,1.0,-86.65414656183,1.0,-86.65414656183,0.0,0.0
2,inherited,,9,,1,0.5,48.00515088116716,1.0,96.01030176233432,1.0,96.01030176233432,0.0,0.0
2,inherited,,9,,-1,0.5,-48.00515088116716,1.0,-96.01030176233432,1.0,-96.01030176233432,0.0,0.0
2,inherited,,10,,1,0.5,49.7738324776723,1.0,99.5476649553446,1.0,99.5476649553446,0.0,0.0
2,inherited,,10,,-1,0.5,-49.7738324776723,1.0,-99.5476649553446,1.0,-99.5476649553446,0.0,0.0
2,artificial_off_line,,,,,0.4,14.134725141734695,0.8,28.26945028346939,0.8,28.26945028346939,0.0,0.0
3,inherited,,1,,1,0.3333333333333333,9.423150094489795,1.0,28.269450283469386,1.0,28.26945028346939,0.0,-3.552713678800501e-15
3,inherited,,1,,-1,0.3333333333333333,-9.423150094489795,1.0,-28.269450283469386,1.0,-28.26945028346939,0.0,3.552713678800501e-15
3,inherited,,2,,1,0.3333333333333333,14.01469309251437,1.0,42.04407927754311,1.0,42.04407927754311,0.0,0.0
3,inherited,,2,,-1,0.3333333333333333,-14.01469309251437,1.0,-42.04407927754311,1.0,-42.04407927754311,0.0,0.0
3,inherited,,3,,1,0.3333333333333333,16.67390505343046,1.0,50.02171516029138,1.0,50.02171516029138,0.0,0.0
3,inherited,,3,,-1,0.3333333333333333,-16.67390505343046,1.0,-50.02171516029138,1.0,-50.02171516029138,0.0,0.0
3,inherited,,4,,1,0.3333333333333333,20.283250750573007,1.0,60.849752251719025,1.0,60.849752251719025,0.0,0.0
3,inherited,,4,,-1,0.3333333333333333,-20.283250750573007,1.0,-60.849752251719025,1.0,-60.849752251719025,0.0,0.0
3,inherited,,5,,1,0.3333333333333333,21.95670772515946,1.0,65.87012317547838,1.0,65.87012317547838,0.0,0.0
3,inherited,,5,,-1,0.3333333333333333,-21.95670772515946,1.0,-65.87012317547838,1.0,-65.87012317547838,0.0,0.0
