dataset,replicate,prime_cutoff,zero_index,gamma,in_window,L_at_gamma,slope_at_gamma,curvature_at_gamma,phase_at_gamma,phase_slope_at_gamma,peak_bracketed,nearest_peak_tau,nearest_peak_value,nearest_peak_prominence,nearest_peak_width,nearest_peak_id,nearest_peak_track_id,peak_offset,min_bracketed,nearest_min_tau,nearest_min_value,nearest_min_prominence,nearest_min_width,nearest_min_id,nearest_min_track_id,min_offset,peak_track_switched,min_track_switched,peak_common_cohort,min_common_cohort
phase_scrambled,0,5,1,14.134725141734695,True,-1.899629113134409,1.1153758341801148,-0.26019812620385374,0.5322755496601288,0.7658010826246201,True,16.516900622588107,1.9089481038597893,4.077764863570584,4.742017938281208,peak_4,8,2.3821754808534124,True,13.775627104032614,-2.1688795715589197,4.077764863570584,3.0188844445133625,min_4,7,-0.35909803770208093,False,False,True,True
phase_scrambled,0,5,2,21.022039638771556,True,-2.732932023086533,-1.5768132964646662,-2.013035078784489,-0.6788780881605567,0.9532542311388581,True,18.776152947455287,1.653328402277588,0.8794752503072085,1.211881790933328,peak_5,10,-2.2458866913162687,True,21.608332031008572,-3.6193097622699746,6.180255799471751,2.4444362577760628,min_6,11,0.5862923922370165,False,False,True,True
phase_scrambled,0,5,3,25.01085758014569,True,0.4080184087273363,-2.5805321854960788,-1.6962507133804354,-0.6274569674572459,-0.17864836114822935,True,23.92750948029607,1.7999008445477365,2.802134262424155,2.186024475593754,peak_6,12,-1.0833480998496192,True,25.872732795566943,-1.002346736056056,2.802134262424155,1.7260697894700479,min_7,13,0.8618752154212537,False,False,True,True
phase_scrambled,0,5,4,30.424876125859512,True,-1.2444445338973251,-1.6478974447588475,-1.8617254583360885,-0.6614861543759272,0.1855876675655141,True,27.84608912701282,1.8725997383397148,3.8454064213184136,2.566816746396644,peak_7,14,-2.5787869988466916,True,31.843256071326227,-1.9728697623349194,3.8454064213184136,4.3687821292709215,min_8,15,1.4183799454667145,False,False,True,True
phase_scrambled,0,5,5,32.93506158773919,True,-0.7784528615658824,0.43324683720493784,-0.7356472021237248,0.8890199550946825,0.29471704083966543,True,35.15792481415151,2.6785702291233378,6.297484162147852,3.5483184323724664,peak_8,16,2.222863226412315,True,31.843256071326227,-1.9728697623349194,3.8454064213184136,4.3687821292709215,min_8,15,-1.0918055164129647,False,False,True,True
phase_scrambled,0,5,6,37.586178158825675,True,-1.9938509736886987,0.28350614390856776,7.349032872797077,-0.38693040580162474,1.764961917245749,True,38.89963203116609,-0.08839943798163963,1.190506563139279,1.237035536562321,peak_9,18,1.3134538723404177,True,37.54730263591707,-1.9993468148308904,4.061059831559646,4.915390149373866,min_9,17,-0.03887552290860441,False,False,True,True
phase_scrambled,0,5,7,40.9187190121475,True,-1.0810953516730528,0.02444958352224247,2.8542186853446396,0.39102267034142857,0.7072605407195802,True,42.395763912332825,0.8217105406249141,0.9344941368383911,1.1657844734899663,peak_10,20,1.4770449001853265,True,40.035280492864594,-1.2789625152634594,1.190506563139279,1.7877904081740326,min_10,19,-0.8834385192829046,False,False,True,True
phase_scrambled,0,5,8,43.327073280915,True,-0.07153233349289967,-0.7064824158492526,5.605298306039554,0.06162405182529401,0.6696692770349627,True,42.395763912332825,0.8217105406249141,0.9344941368383911,1.1657844734899663,peak_10,20,-0.9313093685821769,True,43.441643079989724,-0.11281756574782054,0.9344941368383911,0.9820348619731613,min_11,21,0.11456979907472231,False,False,True,True
phase_scrambled,0,5,9,48.00515088116716,True,-0.8050636083746525,-4.04026848005988,-3.5867537155972915,-1.8045074991527006,-0.3283430908721479,True,46.43571127722544,2.061925446344358,4.061059831559646,4.100864132378147,peak_12,24,-1.5694396039417242,True,49.0243301183899,-5.278615014519089,7.19217469448126,1.6467702442998688,min_13,25,1.0191792372227368,False,False,True,True
phase_scrambled,0,5,10,49.7738324776723,True,-2.056203270568353,4.975201827658876,-3.416796548125603,1.780250106463861,0.36729181727230426,True,51.55882365021862,1.9137608068104468,2.9958744329212914,4.033523103354419,peak_13,26,1.7849911725463201,True,49.0243301183899,-5.278615014519089,7.19217469448126,1.6467702442998688,min_13,25,-0.7495023592824026,False,False,True,True
phase_scrambled,0,5,11,52.970321477714464,True,0.5511409965651339,0.5008939967471842,5.06551459227304,-0.04419479576180646,0.5244092537877796,True,53.736926845376686,1.1041932355516284,0.5753464710572334,0.9316937771373068,peak_14,28,0.7666053676622226,True,52.884381162250996,0.5287717668155885,0.5753464710572334,0.6833073656318811,min_14,27,-0.0859403154634677,False,False,True,True
phase_scrambled,0,5,12,56.44624769706339,True,-0.6009626578380554,-1.7989124051992031,1.0232387698122327,-0.5904655726884509,0.3320763374904231,True,55.655470410034695,0.2765594382699168,0.4173814318976455,0.7728326956544334,peak_15,30,-0.7907772870286962,True,56.847364584755944,-1.025379095677475,0.19223814981235599,0.4313498491327755,min_16,31,0.4011168876925524,False,False,False,True
phase_scrambled,0,5,13,59.34704400260235,True,0.0745347560398576,-0.6545512834723713,-3.1691879512021464,-0.10050287810723818,-0.6842536090586984,False,59.137600556289705,0.14278458934229826,1.1849847778717766,1.2488699317767078,peak_17,34,-0.20944344631264755,False,57.97740805264922,-1.0821330341710462,1.2248908775642038,2.1141504789749614,min_17,33,-1.3696359499531354,False,False,False,False
phase_scrambled,0,5,14,60.83177852460981,False,-1.8768143779910837,3.274531274590038,8.05190011850864,1.0652660104289964,1.884791912121508,False,,,,,,,,False,,,,,,,,False,False,False,False
phase_scrambled,0,5,15,65.1125440480816,False,-0.17095568898658625,-0.2132397724981454,-2.42210539627287,-0.7984043015897555,-0.2186747208223458,False,,,,,,,,False,,,,,,,,False,False,False,False
phase_scrambled,0,5,16,67.07981052949417,False,-2.442194005981124,0.5771076237719527,5.238048136991937,0.24725883647353075,1.3014993513723585,False,,,,,,,,False,,,,,,,,False,False,False,False
phase_scrambled,0,5,17,69.54640171117398,False,1.6824160328042121,1.4020954333951048,-2.3593967966657012,0.808935125703143,-0.9723099627439135,False,,,,,,,,False,,,,,,,,False,False,False,False
phase_scrambled,0,5,18,72.0671576744819,False,-1.5796176114918974,-1.3120100628164098,9.933262283821016,-0.36106252747374534,2.0016532794249415,False,,,,,,,,False,,,,,,,,False,False,False,False
phase_scrambled,0,5,19,75.70469069908393,False,-1.5235729774142561,-4.206466682448393,-1.4750001336982521,-1.3922169781307396,0.5236726676105407,False,,,,,,,,False,,,,,,,,False,False,False,False
phase_scrambled,0,5,20,77.1448400688748,False,-1.7807287260856253,1.0497443137547173,-3.2770158841457557,0.6439303114158337,0.24127070022261093,False,,,,,,,,False,,,,,,,,False,False,False,False
phase_scrambled,0,29,1,14.134725141734695,True,-1.0660947779301666,-0.18146239707407041,-3.592019025508458,0.16519897640237052,-0.1531916116304758,True,14.074590497603609,-1.060987955083044,1.1156102305889641,1.3697861074546631,peak_6,42,-0.060134644131085935,True,14.95628192423273,-2.2620194683673644,4.853433188875348,3.494802237798526,min_7,43,0.8215567824980354,True,True,True,True
phase_scrambled,0,29,2,21.022039638771556,True,-2.8696381712698202,-7.61079977997314,-2.4579941772919853,-1.8215632683246694,0.9961168232599855,True,20.105473466546595,0.7330185642552732,0.5432706636511804,0.6945764935125067,peak_9,45,-0.916566172224961,True,21.58324978097028,-5.9841424488170585,9.528785860048288,1.466119005910782,min_10,11,0.5612101421987248,True,False,True,True
phase_scrambled,0,29,3,25.01085758014569,True,-0.9271569066021571,-3.50689876815541,11.155893388452565,-0.7146267386885027,1.6778476593002247,True,24.085904489152245,2.0677804871362695,5.306155044212552,2.587997749894139,peak_11,12,-0.9249530909934442,True,25.349604282542156,-1.4948334952040492,3.525328603672831,1.316385606306958,min_12,48,0.33874670239646676,False,True,True,True
phase_scrambled,0,29,4,30.424876125859512,True,-0.8498580464262989,0.04473787931996798,-7.322098722222601,-0.4556294597540841,-0.44987076622708033,True,30.430920202379234,-0.8497223653017902,0.22975248823572736,0.38252530847285926,peak_14,53,0.006044076519721386,True,29.937598815051444,-1.0797937014129138,0.22975248823572736,0.6108608468088323,min_14,52,-0.4872773108080679,True,True,True,True
phase_scrambled,0,29,5,32.93506158773919,True,-0.21739019399519233,4.936866740917411,-0.8680569715213089,1.8321930928559595,-0.061371687212777304,True,33.732540623423894,2.782090635051217,3.9843431057510275,1.0872314990751237,peak_15,54,0.7974790356847024,True,32.19399408942756,-3.238827729113372,5.306155044212552,3.513900255529961,min_15,15,-0.7410674983116294,True,False,True,True
phase_scrambled,0,29,6,37.586178158825675,True,-2.4437233197667694,3.5858017239151607,4.385932103839518,0.1814441522083889,1.8377793207497657,True,38.47223518551816,-0.04093821032779921,2.0685647209971805,2.5628479157498125,peak_17,18,0.8860570266924839,True,37.25204815219581,-3.1780665737151863,7.290723224465722,5.135231532452276,min_17,17,-0.3341300066298629,False,False,True,True
phase_scrambled,0,29,7,40.9187190121475,True,-2.0282911070166643,-1.5880399599348851,13.189306717913844,0.2172839839622785,2.154382015915148,True,42.34410589050954,1.0401405064088092,1.8792833071333759,1.5849079128245376,peak_18,20,1.4253868783620405,True,41.015515981961066,-2.1098236592641437,2.0685647209971805,0.8547502229686871,min_18,57,0.09679696981356756,False,True,True,True
phase_scrambled,0,29,8,43.327073280915,True,0.08793180215937801,0.513882269866842,6.918915113006895,0.1608144887759682,0.671354364668909,True,43.87968676739874,0.6532644889431292,0.5839845055497945,0.6860218221312152,peak_19,22,0.552613486483736,True,43.254370369968136,0.06916687321480891,0.5839845055497945,0.6117044527841062,min_19,21,-0.07270291094686598,True,False,True,True
phase_scrambled,0,29,9,48.00515088116716,True,-1.4040228121626892,2.4710160944512305,-0.09445206018099173,-0.6401714788765289,0.3434053459761435,True,48.27727131090286,-0.9710350454103953,0.8775853441693122,0.503592150748982,peak_21,59,0.2721204297357005,True,47.72145776691451,-1.8486927019932005,0.8775853441693122,0.5470096509744325,min_21,58,-0.28369311425264954,True,True,True,True
phase_scrambled,0,29,10,49.7738324776723,True,-2.5029576656553405,6.1328659416498414,-3.1333108679993567,1.7380274152583355,0.8612224681036074,True,48.27727131090286,-0.9710350454103953,0.8775853441693122,0.503592150748982,peak_21,59,-1.496561166769439,True,49.228527765046195,-4.837474047701323,7.217295970195039,1.551357320616835,min_22,25,-0.5453047126261055,True,False,True,True
phase_scrambled,0,29,11,52.970321477714464,True,0.6368277324620527,-2.9650275351709716,7.107614064827986,-0.6507268854253776,0.6138761035801088,True,52.220263732206135,2.3806103628962614,4.897570401985147,6.094411317581971,peak_22,60,-0.7500577455083288,True,53.29980132223661,0.15151610485902506,0.3268209324991443,0.4839708533295107,min_23,27,0.3294798445221474,True,False,True,True
phase_scrambled,0,29,12,56.44624769706339,True,-0.33438338506877685,-5.590566111045736,-6.9872122832835455,-1.2563511025224283,-0.4570192863122028,True,55.98435667860242,0.9801023119013004,0.8876353606357748,0.7932138224796563,peak_24,30,-0.4618910184609746,True,56.99014596346227,-2.517817796243305,3.099557438012825,0.9606265153998539,min_25,31,0.5438982663988767,False,False,True,True
phase_scrambled,0,29,13,59.34704400260235,True,0.06085080380492858,2.771062655216793,-0.949716374316684,0.292308778532316,-0.42106991003506034,True,59.64926576392271,0.5832104334151922,0.8444386952591247,0.509054305600348,peak_26,63,0.3022217613203608,False,59.00010174547408,-0.5518477736053151,0.4953308179859693,0.4527741390907795,min_26,62,-0.3469422571282692,True,True,False,False
phase_scrambled,0,29,14,60.83177852460981,False,-3.2978867329518815,1.6773096927335307,17.98750252246204,0.8739102396467764,3.7059408069608963,False,,,,,,,,False,,,,,,,,False,False,False,False
phase_scrambled,0,29,15,65.1125440480816,False,1.324473970786904,0.08164683808909823,-8.015249861066449,-0.6935999241557989,-1.7588538750218086,False,,,,,,,,False,,,,,,,,False,False,False,False
phase_scrambled,0,29,16,67.07981052949417,False,-2.7691034833713255,4.480073818517953,5.571913769566843,1.0162921716856788,1.4910401688259307,False,,,,,,,,False,,,,,,,,False,False,False,False
