dataset,replicate,prime_cutoff,kind,cohort,zero_indices,eligible_zeros,matched_zeros,feature_count,mean_distance,median_distance
raised_cosine,0,29,min,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,20,1.3910130823322004,1.3855615489058302
raised_cosine,0,29,min,common_bracketed,1;2;3;4;5;6;7;8;9;10;11;12,12,12,20,1.3763199855630353,1.3595138054413045
real,0,29,min,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,26,1.3039445397157214,1.3673262743772625
real,0,29,min,common_bracketed,1;2;3;4;5;6;7;8;9;10;11;12,12,12,26,1.2848174154285568,1.321139413331716
shuffled_rates,0,29,min,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,43,0.5135862287804904,0.5077719624817334
shuffled_rates,0,29,min,common_bracketed,1;2;3;4;5;6;7;8;9;10;11;12,12,12,43,0.5235722598226533,0.5112565167973511
shuffled_rates,1,29,min,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,34,0.8981580801280262,1.044683104309577
shuffled_rates,1,29,min,common_bracketed,1;2;3;4;5;6;7;8;9;10;11;12,12,12,34,0.9384360015588525,1.081007267042743
phase_scrambled,0,101,peak,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,35,0.5544727890286605,0.5580365378649361
phase_scrambled,0,101,peak,common_bracketed,1;2;3;4;5;6;7;8;9;10;11;12,12,12,35,0.5620726363999416,0.5605747108090391
phase_scrambled,1,101,peak,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,34,0.503803404307808,0.5124614738894167
phase_scrambled,1,101,peak,common_bracketed,1;2;3;4;5;6;7;8;9;10;11;12,12,12,34,0.45528709656166644,0.5032841068209777
raised_cosine,0,101,peak,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,29,0.04012737917523305,0.026294061997852225
raised_cosine,0,101,peak,common_bracketed,1;2;3;4;5;6;7;8;9;10;11;12,12,12,29,0.04295927498968618,0.0315789306957619
real,0,101,peak,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,33,0.04434064504536828,0.04327265203572317
real,0,101,peak,common_bracketed,1;2;3;4;5;6;7;8;9;10;11;12,12,12,33,0.04640342506240828,0.043711096606933175
shuffled_rates,0,101,peak,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,52,0.15085662734524272,0.13790945848412406
shuffled_rates,0,101,peak,common_bracketed,1;2;3;4;5;6;7;8;9;10;11;12,12,12,52,0.15796563095145424,0.14691120006325598
shuffled_rates,1,101,peak,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,56,0.12501197566196268,0.11108613034395631
shuffled_rates,1,101,peak,common_bracketed,1;2;3;4;5;6;7;8;9;10;11;12,12,12,56,0.1290950303895572,0.1312555830966371
phase_scrambled,0,101,min,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,34,0.45137431950815865,0.5444617591517442
phase_scrambled,0,101,min,common_bracketed,1;2;3;4;5;6;7;8;9;10;11;12,12,12,34,0.4689426564339181,0.5677942842044548
phase_scrambled,1,101,min,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,35,0.33348794368959933,0.22227525489483213
phase_scrambled,1,101,min,common_bracketed,1;2;3;4;5;6;7;8;9;10;11;12,12,12,35,0.343983776447461,0.247418917477912
raised_cosine,0,101,min,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,28,1.2374392663103966,1.2564673693752795
raised_cosine,0,101,min,common_bracketed,1;2;3;4;5;6;7;8;9;10;11;12,12,12,28,1.205515306370189,1.2554172836249933
real,0,101,min,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,32,1.080486742659652,1.1165889150480695
real,0,101,min,common_bracketed,1;2;3;4;5;6;7;8;9;10;11;12,12,12,32,1.0938835124223982,1.1287510747977532
shuffled_rates,0,101,min,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,52,0.45432480097966316,0.3995281531681343
shuffled_rates,0,101,min,common_bracketed,1;2;3;4;5;6;7;8;9;10;11;12,12,12,52,0.4588911882972906,0.47075617074256293
shuffled_rates,1,101,min,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,55,0.4134520521489542,0.4128759646144644
shuffled_rates,1,101,min,common_bracketed,1;2;3;4;5;6;7;8;9;10;11;12,12,12,55,0.413500059443495,0.41838999216952466
