dataset,replicate,prime_cutoff,zero_index,gamma,in_window,L_at_gamma,slope_at_gamma,curvature_at_gamma,phase_at_gamma,phase_slope_at_gamma,peak_bracketed,nearest_peak_tau,nearest_peak_value,nearest_peak_prominence,nearest_peak_width,nearest_peak_id,nearest_peak_track_id,peak_offset,min_bracketed,nearest_min_tau,nearest_min_value,nearest_min_prominence,nearest_min_width,nearest_min_id,nearest_min_track_id,min_offset,peak_track_switched,min_track_switched,peak_common_cohort,min_common_cohort
real,0,5,1,14.134725141734695,True,2.5547418611922046,-0.5699691928510026,-2.0003203374071346,-0.316387097799844,-1.14274587269999,True,13.844395902919421,2.6370725376076902,6.089001828053474,3.63617670353608,peak_5,9,-0.29032923881527317,True,11.525280486505634,-2.2311654801858203,4.227468239382041,1.8176189170943986,min_4,8,-2.60944465522906,False,False,True,True
real,0,5,2,21.022039638771556,True,1.982386341300947,0.3229575377459837,-2.2169461039899163,0.28905001716413237,-1.0760250422160742,True,21.168088164328985,2.0059591311871445,4.213337770405212,2.699569058339355,peak_6,11,0.1460485255574291,True,23.159712130361086,-1.366202445539827,3.1466002587050026,1.5336957635138833,min_6,12,2.13767249158953,False,False,True,True
real,0,5,3,25.01085758014569,True,1.775762049241377,0.14442201176727693,-2.243153507450232,-0.16951338120040865,-1.0762934063818541,True,25.075441196630898,1.7804212263498944,3.1466002587050026,2.3022885226799192,peak_7,13,0.0645836164852085,True,23.159712130361086,-1.366202445539827,3.1466002587050026,1.5336957635138833,min_6,12,-1.8511454497846032,False,False,True,True
real,0,5,4,30.424876125859512,True,1.4250770508837278,-0.49151633652188165,-2.4420140046928553,0.3103766392569937,-0.7558982160469565,True,30.228168185150157,1.4736890286247684,0.7251067107356666,1.0859534841169443,peak_8,15,-0.1967079407093557,True,31.195706846138982,0.748436544957193,0.7251067107356666,0.7698925484590973,min_8,16,0.77083072027947,False,False,True,True
real,0,5,5,32.93506158773919,True,1.8388790558208357,-1.0177656791257446,-2.3400498115150095,-0.7567489886393625,-1.0233939522645374,True,32.48902827139491,2.06470840996401,5.4386376751961265,5.058848499585679,peak_9,17,-0.446033316344284,True,31.195706846138982,0.748436544957193,0.7251067107356666,0.7698925484590973,min_8,16,-1.7393547416002093,False,False,True,True
real,0,5,6,37.586178158825675,True,1.0223000561581368,0.4107093774707842,-2.6199279035146987,0.3724258476048393,-0.9234241825268326,True,37.74323171140487,1.054544349656935,1.8496782532572953,1.6733105046972787,peak_10,19,0.1570535525791925,True,39.224507717562474,-0.7951826758896678,1.8496782532572953,1.7578329818487237,min_10,20,1.6383295587367996,False,False,True,True
real,0,5,7,40.9187190121475,True,1.4213510115159036,1.5868242623348294,-2.5482340419686107,0.6150207841994904,-0.7958036025126118,True,41.57307054679884,1.9319693220508258,4.311886629610019,4.2205040558735485,peak_11,21,0.6543515346513402,True,39.224507717562474,-0.7951826758896678,1.8496782532572953,1.7578329818487237,min_10,20,-1.694211294585024,False,False,True,True
real,0,5,8,43.327073280915,True,0.31766539709251607,0.74564908430267,-0.20900007715159763,-0.46080241349059237,-0.037335927780667744,True,43.71752202428259,0.4934054324432863,0.32209678388504676,0.7059720658987589,peak_12,23,0.3904487433675854,True,43.04431677895748,0.1712470520358853,0.32209678388504676,0.5287789592653553,min_11,22,-0.2827565019575218,False,False,True,True
real,0,5,9,48.00515088116716,True,1.825953815666539,1.7907427129188613,-2.3095079168998236,1.1178932487810784,-1.0043436586649706,True,48.87815219687048,2.583780516167962,5.19024112994877,3.1299406314580573,peak_13,25,0.8730013157033198,True,45.63199483167731,-3.374268769775031,5.4386376751961265,2.5292034669015813,min_12,24,-2.3731560494898503,False,False,True,True
real,0,5,10,49.7738324776723,True,1.7658965788948853,-1.9047296360398587,-2.4431311605740724,-0.8381070009545761,-0.886392256423861,True,48.87815219687048,2.583780516167962,5.19024112994877,3.1299406314580573,peak_13,25,-0.8956802808018196,True,51.250981941628105,-1.2592833755830557,2.0282456176671846,1.4035887681202985,min_13,26,1.4771494639558043,False,False,True,True
real,0,5,11,52.970321477714464,True,0.7152069689490586,-0.5460705542755372,-2.7750791204890026,-0.3963343170795831,-0.8806352646915866,True,52.77235623743714,0.7691897338205772,2.0282456176671846,1.701093891241817,peak_14,27,-0.19796524027732687,True,54.52704907473976,-2.606759074584069,5.040337176660826,2.0086721436611334,min_14,28,1.5567275970252936,False,False,True,True
