zero_index,beta,gamma
1,0.5,14.134725141734695
2,0.5,21.022039638771556
3,0.5,25.01085758014569
4,0.5,30.424876125859512
5,0.5,32.93506158773919
6,0.5,37.586178158825675
7,0.5,40.9187190121475
8,0.5,43.327073280915
9,0.5,48.00515088116716
10,0.5,49.7738324776723
