frame_prime,zero_index,sign,real,imag,p_times_real
2,1,1,0.5,14.134725141734695,1.0
2,1,-1,0.5,-14.134725141734695,1.0
2,2,1,0.5,21.022039638771556,1.0
2,2,-1,0.5,-21.022039638771556,1.0
2,3,1,0.5,25.01085758014569,1.0
2,3,-1,0.5,-25.01085758014569,1.0
2,4,1,0.5,30.424876125859512,1.0
2,4,-1,0.5,-30.424876125859512,1.0
2,5,1,0.5,32.93506158773919,1.0
2,5,-1,0.5,-32.93506158773919,1.0
2,6,1,0.5,37.586178158825675,1.0
2,6,-1,0.5,-37.586178158825675,1.0
2,7,1,0.5,40.9187190121475,1.0
2,7,-1,0.5,-40.9187190121475,1.0
2,8,1,0.5,43.327073280915,1.0
2,8,-1,0.5,-43.327073280915,1.0
2,9,1,0.5,48.00515088116716,1.0
2,9,-1,0.5,-48.00515088116716,1.0
2,10,1,0.5,49.7738324776723,1.0
2,10,-1,0.5,-49.7738324776723,1.0
3,1,1,0.3333333333333333,9.423150094489795,1.0
3,1,-1,0.3333333333333333,-9.423150094489795,1.0
3,2,1,0.3333333333333333,14.01469309251437,1.0
3,2,-1,0.3333333333333333,-14.01469309251437,1.0
3,3,1,0.3333333333333333,16.67390505343046,1.0
3,3,-1,0.3333333333333333,-16.67390505343046,1.0
3,4,1,0.3333333333333333,20.283250750573007,1.0
3,4,-1,0.3333333333333333,-20.283250750573007,1.0
3,5,1,0.3333333333333333,21.95670772515946,1.0
3,5,-1,0.3333333333333333,-21.95670772515946,1.0
3,6,1,0.3333333333333333,25.057452105883783,1.0
3,6,-1,0.3333333333333333,-25.057452105883783,1.0
3,7,1,0.3333333333333333,27.27914600809833,1.0
3,7,-1,0.3333333333333333,-27.27914600809833,1.0
3,8,1,0.3333333333333333,28.88471552061,1.0
3,8,-1,0.3333333333333333,-28.88471552061,1.0
3,9,1,0.3333333333333333,32.00343392077811,1.0
3,9,-1,0.3333333333333333,-32.00343392077811,1.0
3,10,1,0.3333333333333333,33.18255498511486,1.0
3,10,-1,0.3333333333333333,-33.18255498511486,1.0
5,1,1,0.2,5.653890056693879,1.0
5,1,-1,0.2,-5.653890056693879,1.0
5,2,1,0.2,8.408815855508623,1.0
5,2,-1,0.2,-8.408815855508623,1.0
5,3,1,0.2,10.004343032058276,1.0
5,3,-1,0.2,-10.004343032058276,1.0
5,4,1,0.2,12.169950450343805,1.0
5,4,-1,0.2,-12.169950450343805,1.0
5,5,1,0.2,13.174024635095677,1.0
5,5,-1,0.2,-13.174024635095677,1.0
5,6,1,0.2,15.034471263530271,1.0
5,6,-1,0.2,-15.034471263530271,1.0
5,7,1,0.2,16.367487604859,1.0
5,7,-1,0.2,-16.367487604859,1.0
5,8,1,0.2,17.330829312366003,1.0
5,8,-1,0.2,-17.330829312366003,1.0
5,9,1,0.2,19.202060352466866,1.0
5,9,-1,0.2,-19.202060352466866,1.0
5,10,1,0.2,19.90953299106892,1.0
5,10,-1,0.2,-19.90953299106892,1.0
7,1,1,0.14285714285714285,4.038492897638484,1.0
7,1,-1,0.14285714285714285,-4.038492897638484,1.0
7,2,1,0.14285714285714285,6.006297039649016,1.0
7,2,-1,0.14285714285714285,-6.006297039649016,1.0
7,3,1,0.14285714285714285,7.145959308613054,1.0
7,3,-1,0.14285714285714285,-7.145959308613054,1.0
7,4,1,0.14285714285714285,8.692821750245574,1.0
7,4,-1,0.14285714285714285,-8.692821750245574,1.0
7,5,1,0.14285714285714285,9.410017596496912,1.0
7,5,-1,0.14285714285714285,-9.410017596496912,1.0
7,6,1,0.14285714285714285,10.738908045378764,1.0
7,6,-1,0.14285714285714285,-10.738908045378764,1.0
7,7,1,0.14285714285714285,11.691062574899284,1.0
7,7,-1,0.14285714285714285,-11.691062574899284,1.0
7,8,1,0.14285714285714285,12.379163794547143,1.0
7,8,-1,0.14285714285714285,-12.379163794547143,1.0
7,9,1,0.14285714285714285,13.715757394619189,1.0
7,9,-1,0.14285714285714285,-13.715757394619189,1.0
7,10,1,0.14285714285714285,14.221094993620657,1.0
7,10,-1,0.14285714285714285,-14.221094993620657,1.0
11,1,1,0.09090909090909091,2.5699500257699444,1.0
11,1,-1,0.09090909090909091,-2.5699500257699444,1.0
11,2,1,0.09090909090909091,3.822189025231192,1.0
11,2,-1,0.09090909090909091,-3.822189025231192,1.0
11,3,1,0.09090909090909091,4.54742865093558,1.0
11,3,-1,0.09090909090909091,-4.54742865093558,1.0
11,4,1,0.09090909090909091,5.531795659247185,1.0
11,4,-1,0.09090909090909091,-5.531795659247185,1.0
11,5,1,0.09090909090909091,5.9881930159525805,1.0
11,5,-1,0.09090909090909091,-5.9881930159525805,1.0
11,6,1,0.09090909090909091,6.833850574331941,1.0
11,6,-1,0.09090909090909091,-6.833850574331941,1.0
11,7,1,0.09090909090909091,7.4397670931177275,1.0
11,7,-1,0.09090909090909091,-7.4397670931177275,1.0
11,8,1,0.09090909090909091,7.877649687439091,1.0
11,8,-1,0.09090909090909091,-7.877649687439091,1.0
11,9,1,0.09090909090909091,8.728209251121303,1.0
11,9,-1,0.09090909090909091,-8.728209251121303,1.0
11,10,1,0.09090909090909091,9.049787723213147,1.0
11,10,-1,0.09090909090909091,-9.049787723213147,1.0
