zero_index,gamma,p_ext,P_int,E,standard_mass_equivalent,equivalence_error,standard_KG_E
1,14.134725141734695,-30.0,14.134725141734695,33.16308874083334,14.134725141734695,0.0,33.16308874083334
1,14.134725141734695,-29.4,14.134725141734695,32.62131902349117,14.134725141734695,0.0,32.62131902349117
1,14.134725141734695,-28.8,14.134725141734695,32.08162176125744,14.134725141734695,0.0,32.08162176125744
1,14.134725141734695,-28.2,14.134725141734695,31.544103329027866,14.134725141734695,0.0,31.544103329027866
1,14.134725141734695,-27.6,14.134725141734695,31.008877032752846,14.134725141734695,0.0,31.008877032752846
1,14.134725141734695,-27.0,14.134725141734695,30.476063637425142,14.134725141734695,0.0,30.476063637425142
1,14.134725141734695,-26.4,14.134725141734695,29.945791938641175,14.134725141734695,0.0,29.945791938641175
1,14.134725141734695,-25.8,14.134725141734695,29.418199381205962,14.134725141734695,0.0,29.418199381205962
1,14.134725141734695,-25.2,14.134725141734695,28.893432728431332,14.134725141734695,0.0,28.893432728431332
1,14.134725141734695,-24.6,14.134725141734695,28.371648785933942,14.134725141734695,0.0,28.371648785933942
1,14.134725141734695,-24.0,14.134725141734695,27.85301518386092,14.134725141734695,0.0,27.85301518386092
1,14.134725141734695,-23.4,14.134725141734695,27.337711221541333,14.134725141734695,0.0,27.337711221541333
1,14.134725141734695,-22.8,14.134725141734695,26.825928778560247,14.134725141734695,0.0,26.825928778560247
1,14.134725141734695,-22.2,14.134725141734695,26.31787329615345,14.134725141734695,0.0,26.31787329615345
1,14.134725141734695,-21.6,14.134725141734695,25.813764832592454,14.134725141734695,0.0,25.813764832592454
1,14.134725141734695,-21.0,14.134725141734695,25.31383919583094,14.134725141734695,0.0,25.31383919583094
1,14.134725141734695,-20.4,14.134725141734695,24.818349156065697,14.134725141734695,0.0,24.818349156065697
1,14.134725141734695,-19.8,14.134725141734695,24.3275657399664,14.134725141734695,0.0,24.3275657399664
1,14.134725141734695,-19.200000000000003,14.134725141734695,23.84177960707604,14.134725141734695,0.0,23.84177960707604
1,14.134725141734695,-18.6,14.134725141734695,23.361302507188825,14.134725141734695,0.0,23.361302507188825
1,14.134725141734695,-18.0,14.134725141734695,22.886468815271325,14.134725141734695,0.0,22.886468815271325
1,14.134725141734695,-17.4,14.134725141734695,22.41763713758403,14.134725141734695,0.0,22.41763713758403
1,14.134725141734695,-16.8,14.134725141734695,21.955191978946278,14.134725141734695,0.0,21.955191978946278
1,14.134725141734695,-16.200000000000003,14.134725141734695,21.499545456413422,14.134725141734695,0.0,21.499545456413422
1,14.134725141734695,-15.600000000000001,14.134725141734695,21.05113903883557,14.134725141734695,0.0,21.05113903883557
