zero_index,eigenvalue,squared_eigenvalue,kg_coefficient
1,14.134725141734695,199.79045483238687,199.79045483238687
2,21.022039638771556,441.92615057408256,441.92615057408256
3,25.01085758014569,625.542996894331,625.542996894331
4,30.424876125859512,925.6730872738962,925.6730872738962
5,32.93506158773919,1084.7182817881735,1084.7182817881735
