zero_index,gamma,kappa,P_int,P_int_squared,gap_from_previous,gap_from_zero,reference_only
0,0.0,1.0,0.0,0.0,,0.0,True
1,14.134725141734695,1.0,14.134725141734695,199.79045483238687,14.134725141734695,14.134725141734695,False
2,21.022039638771556,1.0,21.022039638771556,441.92615057408256,6.887314497036861,21.022039638771556,False
3,25.01085758014569,1.0,25.01085758014569,625.542996894331,3.9888179413741334,25.01085758014569,False
4,30.424876125859512,1.0,30.424876125859512,925.6730872738962,5.414018545713823,30.424876125859512,False
5,32.93506158773919,1.0,32.93506158773919,1084.7182817881735,2.5101854618796793,32.93506158773919,False
