q,phase_rate,delta_tau,delta_normalized_Y,min_power_sigma_half
2,0.6931471805599453,9.064720283654388,18.129440567308777,0.085786437626905
3,1.0986122886681098,5.7192017347602535,11.438403469520507,0.17863279495408174
5,1.6094379124341003,3.903962531662343,7.807925063324686,0.3055728090000842
7,1.9459101490553132,3.2289185141615624,6.457837028323125,0.38692819683868845
11,2.3978952727983707,2.6202917944147903,5.240583588829581,0.4878864017535637
13,2.5649493574615367,2.449633279854652,4.899266559709304,0.5222228806978478
