frame_prime,source_prime_q,k,z_real,z_imag,frame_real,frame_imag,normalized_X,normalized_Y,phase_rate,delta_tau,delta_frame_imag,delta_normalized_Y
3,2,-2,0.0,-18.129440567308777,-0.0,-12.086293711539184,0.0,-36.25888113461755,0.6931471805599453,9.064720283654388,6.043146855769592,18.129440567308777
3,2,-1,0.0,-9.064720283654388,-0.0,-6.043146855769592,0.0,-18.129440567308777,0.6931471805599453,9.064720283654388,6.043146855769592,18.129440567308777
3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,9.064720283654388,6.043146855769592,18.129440567308777
3,2,1,0.0,9.064720283654388,0.0,6.043146855769592,0.0,18.129440567308777,0.6931471805599453,9.064720283654388,6.043146855769592,18.129440567308777
3,2,2,0.0,18.129440567308777,0.0,12.086293711539184,0.0,36.25888113461755,0.6931471805599453,9.064720283654388,6.043146855769592,18.129440567308777
5,2,-2,0.0,-18.129440567308777,-0.0,-7.251776226923509,0.0,-36.258881134617546,0.6931471805599453,9.064720283654388,3.625888113461755,18.129440567308777
5,2,-1,0.0,-9.064720283654388,-0.0,-3.6258881134617544,0.0,-18.129440567308773,0.6931471805599453,9.064720283654388,3.625888113461755,18.129440567308777
5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,9.064720283654388,3.625888113461755,18.129440567308777
5,2,1,0.0,9.064720283654388,0.0,3.6258881134617544,0.0,18.129440567308773,0.6931471805599453,9.064720283654388,3.625888113461755,18.129440567308777
5,2,2,0.0,18.129440567308777,0.0,7.251776226923509,0.0,36.258881134617546,0.6931471805599453,9.064720283654388,3.625888113461755,18.129440567308777
5,3,-3,0.0,-17.157605204280763,-0.0,-6.863042081712305,0.0,-34.315210408561526,1.0986122886681098,5.7192017347602535,2.2876806939041012,11.438403469520507
5,3,-2,0.0,-11.438403469520507,-0.0,-4.575361387808203,0.0,-22.876806939041018,1.0986122886681098,5.7192017347602535,2.2876806939041012,11.438403469520507
